1,0,is so sad for my apl friend
2,0,i missed the new moon trailer
3,1,omg its already o
4,0,omgaga im soo im gunna cry ive been at this dentist since i was suposed just get a crown put on
5,0,i think mi bf is cheating on me t_t
6,0,or i just worry too much
7,1,juusst chillin
8,0,sunny again work tomorrow tv tonight
9,1,handed in my uniform today i miss you already
10,1,hmm i wonder how she my number USER_MENTION
11,0,i must think about positive
12,1,thanks to all the haters up in my face all day
13,0,this weekend has sucked so far
14,0,jb isnt showing in australia any more
15,0,ok thats it you win
16,0,this is the way i feel right now
17,0,awhhe man im completely useless now funny all i can do is twitter URL
18,1,feeling strangely fine now im gonna go listen to some semisonic to celebrate
19,0,huge roll of thunder just now so scary
20,0,i just cut my beard off its only been growing for well over a year im gonna start it over USER_MENTION is happy in the meantime
21,0,very sad about iran
22,0,wompp wompp
23,1,youre the only one who can see this cause no one else is following me this is for you because youre pretty awesome
24,0,level is i was writing a massive blog tweet on myspace and my comp shut down now its all lost in fetal
25,0,headed to hospitol had to pull out of the golf tourny in place i think i reripped something yeah that
26,0,boring EMO_NEG whats wrong with him please tell me
27,0,cant be bothered i wish i could spend the rest of my life just sat here and going to gigs seriously
28,0,feeling like shit right now i really want to sleep but noo i have hours of dancing and an art assignment to finish
29,1,goodbye exams hello alcohol tonight
30,0,i didnt realize it was that deep geez give a girl a warning atleast
31,0,i hate it when any athlete appears to tear an acl on live television
32,0,i miss you guys too i think im wearing skinny jeans a cute sweater and heels not really sure what are you doing today
33,0,meet your meat URL
34,0,my horsie is moving on saturday morning
35,0,no sat off need to work days a week
36,0,really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one yay
37,0,sox floyd was great but relievers need a scolding
38,0,times by like a million
39,1,uploading pictures on friendster
40,0,what type of a spaz downloads a virus my brother thats who msn is now fucked forever EMO_NEG
41,0,wiit the babes
42,1,EMO_POS so i wrote something last week and i got a call from someone in the new york office URL
43,0,
44,1,do i need to even say it do i well here i go anyways chris cornell in chicago tonight
45,1,health class what a joke
46,1,USER_MENTION go to the show tonight
47,0,USER_MENTION USER_MENTION it really makes me sad when i look at muslims reality now
48,0,all time low shall be my motivation for the rest of the week
49,0,and the entertainment is over someone complained properly USER_MENTION experimental you say he should experiment with a melody
50,0,another year of lakers thats neither magic nor fun
51,0,baddest day eveer
52,1,bathroom is clean now on to more enjoyable tasks
53,1,boom boom pow
54,0,but im proud
55,0,congrats to helio though
56,0,david must be hospitalized for five days end of july palatine tonsils i will probably never see katie in concert
57,0,friends are leaving me cause of this stupid love URL
58,1,go give ur mom a hug right now URL
59,1,going to see harry sunday happiness
60,0,hand quilting it is then
61,0,hate u leysh t9ar5
62,1,i always get what i want
63,1,i bend backwards
64,1,i get off work soon i miss cody boo havent seen him in foreverr
65,1,i hate allergies should i get my hair cut tomorrow im taking a public poll
66,0,i love you guys so much that it hurts URL
67,0,i miss earl
68,0,i miss new jersey
69,0,i missed the first hour of sytycd last night and i cant find it online
70,0,i need a u2 fix now
71,0,i never thought id become second choice
72,0,i think i may be too friendly lol o well
73,0,i think manuel my basil plant only has days to live
74,0,i wanna be at home church i wonder wht they are doing
75,0,i wanna make my own pizza
76,0,i want a harddrive or a inch tv or a new guitar anyonefeeling generous x
77,0,i want a hug
78,0,i want miley to tour australia
79,0,i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those squirrels
80,0,i was too slow to get up tix
81,0,i will send sunshine to northern ireland are you going swimming today USER_MENTION
82,0,i wish i could go to t4 on the beach EMO_NEG would be great to see USER_MENTION USER_MENTION
83,0,i would be so much happier if the walls of my bedroom were painted white
84,0,idk wat do who can i trust me im sorry all da pain i have caused nebody ima take dis time out straighten myself out i luv yall
85,0,im finding the intercept slope and banging my head against the wall math brain heads come save me
86,1,im really going to bed now
87,0,im sick cough cough
88,0,in cab headed to the airport going home
89,0,in case i feel emo in camp feeling a wee bit of it alr am bringing in the human rights watch world report hope itll work
90,1,jin has a twitter
91,0,jonas day is almost over
92,0,jus got hom fr tda funeral im so sad i cried so much times much love i never got to say my last to him
93,1,just gonna smile cuz it is what it is and im not sure what more they could want
94,1,just got home and i got to see my friend zahra whom i havent seen since we graduated that makes me so happy
95,0,longest night ever ugh URL
96,0,mi momacita wont let me go to my bfs bball game grr
97,0,mom says i have to get a new phone immediately off to tmobile she paying
98,0,my new car was stolen by my mother who wanted to go pose at church
99,0,no hang out with the girls hope so
100,0,no movie times for sunday rats will have to plan tomorrow i guess this means i have to work on those two presentations i am doing
101,0,no pavel tonight
102,0,not a cool night
103,1,oh thank you
104,1,pleased
105,0,probably guna get off soon since no one is talkin no more
106,0,really wanted safina to pull out a win to lose like that
107,0,rip david eddings
108,1,rose and ood will be back in the xmas who special yay damn thats half a year away
109,0,sannesias aww no neighbor we need to watch mean girls URL
110,0,so whats the status on next weekend
111,0,sorry USER_MENTION the ex husband has overdosed on his daily dose of haterade
112,0,thanks for your definition of throwbie editors reviewed your entry and have decided to not publish it
113,1,thanks i need all the help i can get
114,1,that explains alot
115,1,theres going to be a heathers sequel winona4ever they better not fuck it up
116,0,told not to drink rx so just gave all the b.b porter obs stout that i brought home from or to my neighbors v v sad
117,1,trae is so sweet he just bought me a new baithing suit wove him
118,1,true highly subjective of me there tombre was actually my favorite character in the book you got me URL rishabh
119,0,u guys knw whyy
120,0,very much so
121,0,waahh now im getting sad miss hub
122,0,we were standing out in the pouring rain we were sitting on top of the world summer sucks
123,0,went to get dog from vets theyve stitched her ear charged us for it but she still bleeds like a waterfall everytime she moves d why
124,0,where is my picture i feel naked
125,0,why arent there any trains going to manchester on a sunday now i cant go to the USER_MENTION concert
126,0,why must people be so picky i mean hours work and no dice up with that URL
127,0,why twitter will soon become obsolete URL
128,1,wide awake not
129,1,yeah me too its been awful weather here for the last week so that stinks kristis comin down and moe said mmaybe he take us for
130,0,you hi stranger hello i am frank lampard how are you you fine you and urself stranger i am gay your URL
131,0,youll always be my one and only
132,0,this shit sucks
133,0,asylm j2 panel is over guess its back to normal life
134,1,poemsunder140 started by USER_MENTION
135,0,squarespace brighten my bad day i never win anything
136,0,susan boyle didnt win mh well diversity was very good though congratz
137,0,twenty20
138,1,that is all and believe me its enough
139,1,good timess
140,0,graduate
141,0,vandals paint swastikas on home of author of gay lesbian church story naples daily URL
142,0,unknown error occured uh oh iphone os fail so far
143,0,homers predict eagles to go and giants to go bs URL
144,1,know you hungry so lets go outside on the balcony so you can
145,0,want you so bad its driving me
146,1,men a uk female internet entrepreneur should know when starting and growing a business the next URL
147,1,truth is hiding in your USER_MENTION USER_MENTION paramore decode USER_MENTION URL
148,0,to turn on my tv to get you out of my head ive got this feeling inside that i just wont admit that is literally how i feel
149,0,the truth is i miss you coldplay
150,0,tears EMO_NEG today is the last day with my kids they go on summer break at their dads tomorrow URL
151,0,unsure annoyed URL
152,0,via USER_MENTION are designed gallery exhibition going extinct via nyt URL
153,0,
154,0,im going to miss harry potter when it comes out im leaving to vietnam on july im going to cry
155,1,i say up put your money where your mouth headin out to reality cheers twitter world
156,1,you cant love someone that doesnt love you back thats like stalker status get a divorce move on trinity
157,0,going back to bed because im lookin around and dont see a reason to be awake atm be up in a little
158,1,aiqht goodniqht tri neena malcolm chaise jlew atl love much
159,1,trii ily even if chaise doesnt of
160,0,i wantt hiim soo badd
161,0,watching tv bed shopping w mom out w trent hopefully i need my best friend
162,0,had weird encounters with so many on the walk home tonight all by myself awesome really
163,0,rained out truck race
164,0,why am i feeling worse f
165,0,feeling pain and happiness at the same time how confusing
166,1,hot choco is the best
167,0,in a shirt and panties celulite
168,0,had to turn back to north due to body on line so missing design council design tech transfer event URL
169,0,y everything is so hard
170,0,bueno good bye good night
171,1,beach day with scoobs EMO_POS still no phone
172,0,lets have fun when i give ya what i give ya
173,0,i dont want to move
174,1,d what an amazing night again hi twits i miss u guys
175,1,canaveral national seashore
176,1,progressing in the production department with thats the priority getting the head nodding beats and then we reach out
177,1,taylorrhicks enjoy chicago b new venue is always cool you shine everywhere you go i know who you are in time so will everyone
178,0,the train crash in dc
179,1,thestreetforce
180,1,USER_MENTION makes me smile
181,1,USER_MENTION my first day off in weeks and my child got up before so watch for me on grac URL
182,1,USER_MENTION video woodpecker the barber of i am great USER_MENTION just wishing to be a ch URL
183,1,USER_MENTION i am happy you are staying around here drexel is a fabulous university you should be proud yeah
184,0,USER_MENTION what happened to angels and demons and lions and tigers and bears
185,0,USER_MENTION well that sure minimizes the impact lol
186,1,USER_MENTION USER_MENTION i call dibs on the voltron arm no the leg wait where are my manners USER_MENTION URL
187,1,USER_MENTION i just saw ur mum
188,1,USER_MENTION and USER_MENTION get your fat asses on here nai
189,1,USER_MENTION see three external monitors on one laptop URL win7rc x x
190,1,USER_MENTION if youre cool or if youre not cool maybe ill send some cool URL
191,1,USER_MENTION you want to start the morning later in new york we can do that californians have it even better
192,1,USER_MENTION URL lol luv it URL did any1 find or c a URL
193,1,USER_MENTION is making fettucini and garlic bread
194,1,USER_MENTION tell USER_MENTION i said happy bday
195,0,USER_MENTION USER_MENTION i went to work once last year with no pants ironically that was my last day of work at that job fml
196,1,USER_MENTION told you you would sweep haha p
197,0,USER_MENTION there r many gr8 science cartoons URL URL URL URL
198,0,USER_MENTION edinburgh fringe is only weeks away i need monies btw im elliott from USER_MENTION blame USER_MENTION for the twitter intrusion
199,0,USER_MENTION why didnt you come to school have you done the short stack thing by yourself or do you still need me
200,0,USER_MENTION which one URL URL or URL latter for the us store only iphone comics
